transcript_id	true_counts
ENST00000641515.2	12
ENST00000426406.4	1
ENST00000332831.5	0
ENST00000616016.5	2
ENST00000618323.5	23
ENST00000437963.5	0
ENST00000342066.8	4
ENST00000616125.5	1
ENST00000618779.5	1
ENST00000622503.5	5
ENST00000618181.5	3
ENST00000617307.5	5
ENST00000341065.8	0
ENST00000455979.1	39
ENST00000327044.7	1
ENST00000338591.8	3
ENST00000466300.1	9
ENST00000379410.8	0
ENST00000379407.7	0
ENST00000379409.6	0
ENST00000491024.1	7
ENST00000433179.4	1
ENST00000341290.6	0
ENST00000694917.1	0
ENST00000428771.6	0
ENST00000304952.11	2
ENST00000484667.2	19
ENST00000624697.4	0
ENST00000624652.1	0
ENST00000649529.1	0
ENST00000379370.7	0
ENST00000620552.4	1
ENST00000651234.1	4
ENST00000652369.1	33
ENST00000453464.3	2
ENST00000379339.5	42
ENST00000421241.7	0
ENST00000379325.7	1
ENST00000467751.5	0
ENST00000477196.5	1
ENST00000379320.5	2
ENST00000379319.5	12
ENST00000434641.5	0
ENST00000462097.5	0
ENST00000475119.5	90
ENST00000442117.5	0
ENST00000427787.5	0
ENST00000480643.1	0
ENST00000379289.6	1
ENST00000379290.6	1
ENST00000673999.1	0
ENST00000379288.3	0
ENST00000486379.1	0
ENST00000328596.10	0
ENST00000379268.7	9
ENST00000486728.5	1
ENST00000379265.5	2
ENST00000699969.1	4
ENST00000699970.1	0
ENST00000379236.4	4
ENST00000699971.1	0
ENST00000699973.1	0
ENST00000699974.1	0
ENST00000699975.1	226
ENST00000699976.1	2
ENST00000699977.1	15
ENST00000699978.1	4
ENST00000699979.1	0
ENST00000360001.12	0
ENST00000263741.12	2
ENST00000465727.5	0
ENST00000403997.2	7
ENST00000379198.5	3
ENST00000330388.2	0
ENST00000450390.6	0
ENST00000349431.11	1
ENST00000347370.6	0
ENST00000400929.6	3
ENST00000464036.5	0
ENST00000360466.6	4
ENST00000400930.8	0
ENST00000473215.5	23
ENST00000435198.5	2
